revenuMensuel,montant,dureeMois,autresCharges,ancienneteMois,incidentsPaiement,fichageBam,score,approved
20381.59,366622.49,120,0,39,0,0,89,1
9826.33,700922.95,120,2910.92,74,0,0,20,0
24842.52,687165.32,36,0,40,0,0,27,0
20995.8,94495.34,36,2556.54,114,0,0,87,1
14287.68,245784.11,60,0,19,2,0,50,0
15014.28,423731.75,12,0,55,3,0,0,0
7107.54,124668.46,12,2410.0,116,1,0,9,0
19288.66,722287.56,12,966.14,67,0,0,27,0
24519.31,623845.29,24,0,67,1,0,21,0
9863.86,116631.28,240,0,73,1,0,87,1
7366.98,488698.1,240,0,58,0,0,57,0
17369.72,190739.13,120,0,49,0,0,95,1
20767.2,628853.51,120,0,73,0,0,81,1
18612.14,548871.01,60,0,110,0,0,36,0
7489.56,149562.12,48,817.75,82,0,0,26,0
16624.83,195333.2,60,0,27,1,0,73,1
8254.66,426551.45,36,0,81,0,0,19,0
17204.32,74887.14,48,1597.4,67,0,0,90,1
20687.63,458254.26,240,0,120,0,0,96,1
20087.13,78576.39,240,0,104,0,0,100,1
18997.92,227689.29,12,1669.28,103,1,0,17,0
14992.04,174106.16,240,0,113,0,1,59,0
12719.42,60090.81,12,640.02,79,0,0,55,0
16151.82,174276.64,240,0,98,0,0,100,1
13888.29,228941.77,12,2384.45,67,0,0,23,0
6960.94,368847.86,12,0,8,0,0,9,0
18762.91,474748.21,120,0,88,0,0,84,1
10603.04,206253.5,120,0,6,0,0,76,1
16045.81,729564.89,60,0,17,0,0,17,0
8620.98,864758.83,12,859.64,78,0,0,19,0
7147.77,269684.91,24,2208.79,91,0,0,18,0
12254.09,170429.12,120,0,100,1,0,82,1
13374.17,159858.81,60,0,60,1,0,76,1
20967.13,123920.97,12,2282.53,53,0,0,27,0
23555.57,113914.94,240,0,107,0,0,100,1
12933.72,133520.39,240,0,3,0,0,90,1
25852.29,153574.98,240,706.0,5,0,0,99,1
9581.23,454017.83,240,1732.4,19,0,0,38,0
11452.97,727702.94,24,0,112,0,0,21,0
15914.2,369367.56,48,2702.54,46,0,0,22,0
7578.9,117610.73,60,0,9,0,0,66,1
11743.38,519361.35,12,0,53,0,0,20,0
9539.38,120027.97,36,0,86,0,0,67,1
21785.66,824142.46,36,0,71,0,0,28,0
6876.06,517791.6,120,0,64,0,1,0,0
22545.0,244285.06,12,0,62,0,0,29,0
27258.58,230895.49,24,2640.02,56,0,0,60,1
10179.51,84191.46,120,2983.78,30,0,0,62,1
31661.52,514280.61,60,2156.76,12,0,0,71,1
12586.89,295429.51,120,0,111,3,0,55,0
10036.67,924981.52,48,0,80,0,0,20,0
30734.96,330285.08,60,0,52,0,0,94,1
17585.71,108239.2,24,0,101,0,0,82,1
8201.61,535595.27,60,0,59,1,0,10,0
5538.92,405487.66,24,2783.59,83,0,0,17,0
14070.42,628511.79,12,931.29,85,0,0,23,0
24057.95,219916.91,240,794.6,75,0,0,100,1
10295.13,166955.25,240,0,59,0,0,94,1
17585.2,275567.51,48,0,93,0,0,74,1
27906.89,557278.26,36,0,64,0,1,0,0
15584.44,37865.36,60,0,21,1,0,88,1
6888.88,674553.0,24,0,46,0,0,16,0
12507.49,543628.77,120,0,84,0,1,13,0
7915.02,72129.2,12,0,81,0,0,19,0
6671.58,192185.67,24,0,85,0,0,18,0
22008.88,31412.38,24,0,49,3,0,76,1
5799.46,484135.12,36,0,62,0,0,18,0
9093.55,740996.31,24,907.73,117,1,1,0,0
10726.84,796298.26,24,1760.13,66,0,0,21,0
5680.11,438284.32,36,1880.27,58,2,0,0,0
33458.24,33481.77,120,585.33,88,0,0,100,1
17073.48,486127.71,24,0,117,0,0,25,0
11528.94,217707.2,36,0,101,0,1,0,0
32345.32,226649.3,12,0,109,2,0,13,0
22861.61,171632.24,12,0,88,1,0,20,0
6002.71,97393.45,240,2004.88,23,0,0,48,0
15725.86,98320.72,60,0,91,1,0,87,1
16375.3,275563.9,48,0,53,0,0,70,1
6715.26,81065.74,48,0,97,0,0,75,1
8453.75,468064.99,36,0,51,0,0,18,0
31536.35,447761.42,60,2527.7,96,0,0,81,1
14404.54,492018.42,24,0,69,1,0,14,0
12596.25,73847.14,48,0,13,0,0,84,1
19228.05,100717.82,60,0,45,2,0,80,1
18562.13,747940.14,48,0,97,0,0,26,0
19692.79,104106.79,240,0,95,1,0,98,1
24323.78,171246.81,60,0,44,0,0,97,1
17602.55,323660.78,12,0,29,0,0,20,0
25430.37,122487.13,24,0,54,0,0,93,1
28680.91,403966.91,36,0,70,0,0,71,1
18472.53,104685.3,48,0,31,0,0,92,1
22091.18,222848.17,48,1651.14,99,3,0,55,0
8737.9,246908.2,12,0,90,0,0,19,0
13907.88,775436.24,12,1620.72,51,3,0,0,0
26250.25,156298.61,24,0,26,0,0,83,1
7752.89,337760.03,240,0,48,0,0,73,1
10764.07,227833.79,60,0,100,0,0,66,1
8726.36,807117.05,48,0,50,0,0,17,0
8299.43,817689.9,240,0,10,0,0,11,0
12398.43,823646.02,36,1456.01,113,0,0,22,0
18843.01,61873.36,12,0,51,0,0,81,1
5540.52,181435.34,120,2086.2,5,0,0,8,0
10157.76,394192.01,48,0,104,2,0,2,0
29150.18,459487.39,60,522.31,71,0,0,84,1
15603.29,734671.38,240,0,29,0,0,73,1
7602.25,518974.33,24,0,86,0,0,19,0
7633.19,396083.34,60,0,27,3,0,0,0
5068.17,118106.87,240,0,19,0,0,79,1
10916.37,331862.62,240,627.88,97,0,0,80,1
13508.24,526906.02,60,2572.13,102,2,0,5,0
15664.81,539691.01,36,848.71,20,0,0,17,0
12519.07,491142.45,120,0,47,0,0,62,1
13939.01,73534.95,60,0,103,1,0,88,1
23976.37,59388.44,36,2105.62,19,0,0,91,1
8412.37,179810.47,24,0,14,0,1,0,0
14355.74,184942.92,120,0,87,0,0,93,1
28445.19,81822.73,12,0,110,0,0,91,1
11864.42,702277.49,24,0,98,0,1,0,0
21276.09,428746.5,240,0,22,1,0,84,1
6857.69,194994.76,240,1775.15,28,0,0,48,0
17997.95,241072.35,120,0,79,0,0,96,1
17433.61,197100.21,36,0,23,0,0,70,1
16061.84,911279.17,60,2010.78,66,0,0,24,0
10457.98,242212.66,48,748.16,16,3,0,0,0
26017.92,498996.76,60,0,22,0,0,74,1
13779.79,342397.57,12,2116.34,8,0,0,14,0
11675.72,263096.13,24,0,68,0,0,21,0
22615.59,286311.18,120,1735.7,45,0,0,90,1
8458.58,201683.1,240,0,75,0,0,87,1
10467.42,488454.4,60,0,117,0,0,21,0
4984.89,87788.49,12,0,76,0,0,17,0
19167.3,281188.81,120,0,4,0,1,44,0
8669.2,184171.05,12,0,105,0,0,19,0
24023.62,222474.15,60,0,29,0,0,91,1
11985.37,466362.22,48,0,104,0,0,22,0
11350.31,375492.92,24,0,116,0,0,21,0
15604.94,298428.24,24,0,67,0,0,24,0
6521.72,298274.77,240,0,44,1,0,61,1
21460.99,260519.67,240,0,7,0,0,94,1
17994.19,685999.16,12,0,39,0,0,23,0
5861.61,281789.25,12,2145.36,24,0,0,12,0
16122.93,199570.97,120,0,24,0,0,89,1
9184.79,307900.21,120,1602.79,80,2,0,18,0
9309.31,214033.18,24,905.29,10,0,0,12,0
28574.24,403107.56,48,0,99,1,0,74,1
17029.09,381010.52,60,0,21,0,0,59,0
8026.5,191674.43,36,0,91,0,0,19,0
17822.34,268765.98,240,2060.39,98,1,0,80,1
14765.22,668746.54,12,625.8,52,0,0,23,0
16333.19,860263.16,12,0,60,0,0,25,0
19187.17,273234.0,120,2878.63,94,0,0,80,1
18306.28,530049.17,60,0,104,0,0,39,0
13874.11,147076.01,60,0,10,2,0,61,1
6323.18,563191.97,24,1760.75,22,0,0,12,0
5777.02,180982.18,12,0,106,3,0,0,0
9389.76,345970.55,36,1535.77,68,1,0,11,0
12197.75,585680.66,240,1251.56,50,0,0,62,1
13156.59,151380.28,12,0,48,0,0,20,0
15805.37,551235.62,12,0,119,0,0,24,0
25633.3,244713.99,12,0,7,0,0,22,0
12961.4,186681.31,12,1536.73,58,2,1,0,0
10812.73,353811.44,120,0,105,0,0,71,1
20105.84,112656.32,12,0,67,0,0,54,0
19142.66,235700.37,240,2144.1,43,0,1,47,0
8060.07,131571.28,60,0,88,0,0,73,1
22962.28,459875.99,12,0,6,0,0,20,0
17977.74,216851.89,60,0,27,0,0,82,1
11600.26,715666.2,36,2514.34,115,0,0,21,0
11352.49,159858.48,36,0,110,0,0,61,1
14330.65,117870.89,24,0,62,0,1,31,0
10056.56,760635.01,48,0,1,0,0,10,0
14405.91,88570.17,48,0,43,1,0,81,1
13475.43,450669.62,120,0,118,0,0,73,1
17908.42,252801.96,48,1149.86,93,0,0,72,1
26038.66,427096.61,60,0,17,0,0,78,1
13468.94,336694.27,48,0,93,0,0,29,0
14814.2,688315.3,120,0,98,2,0,31,0
10426.03,456655.69,24,0,37,0,0,17,0
22425.45,704707.84,48,0,83,0,0,29,0
22159.28,310217.85,24,0,50,0,1,0,0
7983.9,77642.21,24,0,3,3,0,22,0
18095.5,337044.21,240,2031.99,104,0,0,87,1
20999.51,609888.99,48,0,21,0,0,22,0
20621.84,372444.68,36,719.89,93,0,0,33,0
20839.05,416315.88,24,0,114,0,0,28,0
8805.76,190334.13,120,0,98,0,0,81,1
10815.67,137485.61,36,0,8,2,0,41,0
28350.76,597971.5,24,0,75,0,0,31,0
23235.43,276619.4,240,0,21,0,0,99,1
19530.18,138754.17,12,2087.99,17,0,0,20,0
14228.77,226254.01,48,1322.22,2,0,0,45,0
33051.65,504219.59,24,0,73,2,1,0,0
18331.07,321971.76,60,0,70,0,0,78,1
6854.49,716827.75,120,0,96,3,0,0,0
5325.98,902609.43,240,0,47,0,0,15,0
10734.42,141169.96,60,2134.42,28,0,0,51,0
11630.78,113229.82,48,1330.23,79,0,0,72,1
5628.05,434218.58,24,0,74,2,0,0,0
12612.8,865854.59,12,648.5,105,0,1,0,0
28069.34,673826.95,12,0,20,1,0,15,0
19929.3,186697.6,24,0,63,0,0,70,1
10583.38,252839.83,24,0,73,0,0,21,0
28362.31,872319.74,240,0,6,0,0,86,1
8553.82,272003.75,24,2405.22,78,0,0,19,0
14005.47,417773.01,48,0,51,0,0,22,0
11758.9,141938.95,24,0,115,0,0,38,0
25650.21,455793.32,48,0,22,0,0,68,1
23413.85,244125.32,36,0,64,1,0,73,1
16642.66,327234.92,24,0,61,0,0,25,0
8747.04,603715.14,12,0,20,0,0,12,0
26256.57,797096.56,60,0,81,2,0,20,0
19101.79,199142.31,120,0,61,3,1,31,0
9568.03,337972.61,48,0,3,0,0,11,0
8288.3,730239.84,240,1298.51,32,3,0,0,0
19156.07,218858.85,240,0,44,0,0,99,1
9323.04,916361.12,48,0,32,0,0,15,0
11264.9,568639.02,36,0,58,0,0,21,0
8304.9,827061.48,24,0,7,2,0,0,0
18209.83,349319.64,12,2218.61,44,0,0,23,0
15220.2,765525.62,12,2755.58,48,0,0,22,0
11413.64,472048.72,24,0,61,2,1,0,0
16631.5,349750.08,240,0,41,0,0,92,1
18835.6,168664.17,120,0,9,0,0,92,1
5097.33,519101.44,48,650.39,33,0,0,13,0
8025.52,680391.34,60,0,96,0,0,19,0
17662.59,506800.84,24,0,112,0,0,25,0
23069.23,539397.18,36,0,81,0,0,29,0
16130.34,372660.05,24,2478.78,106,0,0,24,0
10055.84,377319.32,12,2474.55,89,0,0,20,0
7788.07,502369.39,60,0,42,0,0,16,0
7963.25,359128.97,12,0,114,0,1,0,0
23869.79,754234.64,36,2041.06,106,0,0,30,0
13600.6,481924.37,48,0,47,0,0,21,0
11264.25,421581.9,120,0,101,2,0,49,0
19771.81,245391.17,240,0,80,0,0,100,1
18236.2,321541.38,12,0,29,0,0,21,0
20324.62,152241.85,12,0,21,0,0,21,0
22918.27,659415.14,120,0,118,0,1,42,0
11426.65,414338.71,60,0,2,0,0,11,0
10795.1,254459.46,24,2807.3,51,3,0,0,0
18343.26,110159.59,12,0,16,2,0,20,0
29506.96,615366.35,60,0,14,2,0,51,0
14197.81,162677.3,60,0,76,0,0,86,1
10191.07,49282.59,60,0,60,0,0,94,1
19054.36,371831.5,120,2927.22,54,1,0,65,1
16337.72,550613.57,240,0,42,0,0,84,1
27946.25,523275.67,12,834.61,12,0,0,23,0
15168.76,660449.06,36,0,1,0,0,14,0
14684.21,153725.34,36,2386.05,38,0,0,47,0
9337.22,585985.07,60,2580.6,35,1,0,7,0
22698.55,319349.63,60,0,4,1,0,69,1
18437.03,574546.75,12,2706.94,116,1,0,17,0
9391.74,692663.71,36,0,84,0,0,20,0
14137.04,66424.89,120,0,112,0,0,100,1
23887.78,539422.3,24,0,41,0,0,27,0
7277.72,221887.8,60,0,65,1,0,16,0
20800.83,391479.63,12,0,70,0,0,28,0
14161.26,413157.17,240,2802.4,111,0,0,69,1
26115.62,168860.97,48,0,63,0,0,100,1
17238.58,280661.18,36,0,82,0,0,50,0
30708.76,269040.28,24,0,116,0,0,78,1
29931.18,82313.21,24,1508.34,81,1,0,89,1
18364.28,758556.2,60,0,27,0,0,21,0
20403.92,286989.67,36,0,9,0,0,59,0
10203.3,85273.55,60,2376.6,112,0,0,66,1
22288.24,577066.84,120,0,12,0,0,78,1
9050.01,521550.33,36,0,94,0,0,20,0
15111.86,207835.61,60,0,20,0,0,75,1
25687.49,240739.0,48,785.78,69,0,0,91,1
25547.02,743953.92,48,0,30,0,0,26,0
21428.46,423565.68,48,0,15,0,0,54,0
8778.65,352239.73,36,0,102,0,0,20,0
7459.79,410508.67,12,0,38,3,0,0,0
22996.2,363895.04,12,0,58,0,0,29,0
10423.02,752064.76,60,0,27,0,0,16,0
25974.0,513896.71,48,2599.94,56,0,0,40,0
18224.7,442492.67,120,0,55,0,0,84,1
7290.55,744855.34,48,0,79,0,0,19,0
17167.27,306667.78,24,0,91,0,0,25,0
15789.85,224465.52,60,2195.45,60,0,0,68,1
7608.43,313305.79,12,843.72,38,0,0,15,0
23316.84,608640.79,36,0,28,0,0,24,0
20522.21,127803.33,12,0,84,0,0,42,0
13725.83,324337.31,36,0,2,0,0,13,0
15799.28,153565.33,24,0,16,0,0,56,0
8298.35,442608.71,120,0,112,0,0,28,0
14605.79,715940.18,36,0,83,2,1,0,0
26047.71,592959.05,12,0,117,0,0,31,0
7855.28,930846.9,24,0,44,0,0,16,0
22856.32,89967.72,24,0,70,0,0,96,1
17742.5,144166.44,12,0,3,1,0,7,0
17678.58,703655.97,36,0,37,0,0,21,0
10224.03,306211.57,24,0,7,0,0,11,0
19052.47,133364.27,120,0,113,0,0,100,1
14130.49,377881.26,24,0,102,0,0,23,0
26059.01,248633.27,240,0,20,0,0,100,1
8324.62,319904.92,120,0,41,1,0,51,0
21939.12,190883.52,12,0,50,0,1,0,0
18814.17,649433.32,60,0,79,1,0,17,0
11581.0,265289.32,36,0,38,0,0,17,0
18046.25,722019.14,36,0,69,0,1,0,0
28106.03,524448.91,120,0,39,0,0,92,1
23975.98,782846.1,120,867.08,70,0,0,77,1
6151.81,699273.77,48,2119.38,99,0,0,18,0
8948.63,490206.21,12,664.56,110,0,0,20,0
7727.56,234935.52,24,0,87,0,0,19,0
16852.88,278395.06,12,0,105,0,0,25,0
24281.84,364327.45,240,0,25,0,1,57,0
19253.04,395106.94,24,0,39,0,0,24,0
15633.37,64659.13,24,0,3,0,0,81,1
13376.04,549520.95,48,0,25,3,1,0,0
8058.9,407666.44,240,0,64,3,0,44,0
30649.4,272834.29,12,2282.79,10,0,0,23,0
9601.77,144253.4,240,0,55,0,0,93,1
13574.54,329659.44,12,0,69,0,0,23,0
15423.54,866527.3,24,0,117,3,0,0,0
15221.73,447738.46,36,0,4,0,0,15,0
16251.54,84899.32,240,0,15,0,0,98,1
7980.12,139164.49,12,0,52,0,0,18,0
